sim_time,wall_time,T_out,Flow,dt_sec,T_greenhouse,T_water,u_dead,x1,x2
25.500000,1763569650.341941,10.000000,0.600000,0.500000,125.829707,21.638684,0.600000,125.829707,10.059158
26.000000,1763569650.341952,10.000000,0.600000,0.500000,130.859286,21.881967,0.600000,130.859286,10.264681
26.500000,1763569650.341973,10.000000,0.600000,0.500000,135.991627,22.138155,0.600000,135.991627,10.467285
27.000000,1763569650.341992,10.000000,0.600000,0.500000,141.225269,22.407457,0.600000,141.225269,10.667000
27.500000,1763569650.342011,10.000000,0.600000,0.500000,146.558769,22.690079,0.600000,146.558769,10.863855
28.000000,1763569650.342019,10.000000,0.600000,0.500000,151.990696,22.986220,0.600000,151.990696,11.057879
28.500000,1763569650.342027,10.000000,0.600000,0.500000,157.519636,23.296073,0.600000,157.519636,11.249101
29.000000,1763569650.342033,10.000000,0.600000,0.500000,163.144186,23.619829,0.600000,163.144186,11.437548
29.500000,1763569650.342044,10.000000,0.600000,0.500000,168.862960,23.957671,0.600000,168.862960,11.623249
30.000000,1763569650.342050,10.000000,0.600000,0.500000,174.674585,24.309780,0.600000,174.674585,11.806232
30.500000,1763569650.342191,10.000000,0.600000,0.500000,180.577701,24.676331,0.600000,180.577701,11.986524
31.000000,1763569650.342197,10.000000,0.600000,0.500000,186.570963,25.057492,0.600000,186.570963,12.164152
31.500000,1763569650.342203,10.000000,0.600000,0.500000,192.653039,25.453432,0.600000,192.653039,12.339144
32.000000,1763569650.342208,10.000000,0.600000,0.500000,198.822611,25.864309,0.600000,198.822611,12.511526
32.500000,1763569650.342218,10.000000,0.600000,0.500000,205.078375,26.290280,0.600000,205.078375,12.681325
33.000000,1763569650.342221,10.000000,0.600000,0.500000,211.419037,26.731498,0.600000,211.419037,12.848567
33.500000,1763569650.342224,10.000000,0.600000,0.500000,217.843320,27.188110,0.600000,217.843320,13.013278
34.000000,1763569650.342228,10.000000,0.600000,0.500000,224.349959,27.660259,0.600000,224.349959,13.175484
34.500000,1763569650.342231,10.000000,0.600000,0.500000,230.937701,28.148085,0.600000,230.937701,13.335210
35.000000,1763569650.342234,10.000000,0.600000,0.500000,237.605307,28.651721,0.600000,237.605307,13.492483
35.500000,1763569650.342237,10.000000,0.600000,0.500000,244.351548,29.171299,0.600000,244.351548,13.647327
36.000000,1763569650.342241,10.000000,0.600000,0.500000,251.175211,29.706946,0.600000,251.175211,13.799766
36.500000,1763569650.342332,10.000000,0.600000,0.500000,258.075094,30.258782,0.600000,258.075094,13.949826
37.000000,1763569650.342354,10.000000,0.600000,0.500000,265.050008,30.826928,0.600000,265.050008,14.097532
37.500000,1763569650.342360,10.000000,0.600000,0.500000,272.098774,31.411497,0.600000,272.098774,14.242906
38.000000,1763569650.342366,10.000000,0.600000,0.500000,279.220227,32.012601,0.600000,279.220227,14.385974
38.500000,1763569650.342375,10.000000,0.600000,0.500000,286.413214,32.630345,0.600000,286.413214,14.526759
39.000000,1763569650.342380,10.000000,0.600000,0.500000,293.676593,33.264834,0.600000,293.676593,14.665285
39.500000,1763569650.342387,10.000000,0.600000,0.500000,301.009236,33.916166,0.600000,301.009236,14.801575
40.000000,1763569650.342394,10.000000,0.600000,0.500000,308.410023,34.584437,0.600000,308.410023,14.935652
40.500000,1763569650.342424,10.000000,0.600000,0.500000,315.877849,35.269740,0.600000,315.877849,15.067539
41.000000,1763569650.342443,10.000000,0.600000,0.500000,323.411618,35.972163,0.600000,323.411618,15.197258
41.500000,1763569650.342449,10.000000,0.600000,0.500000,331.010247,36.691790,0.600000,331.010247,15.324833
42.000000,1763569650.342468,10.000000,0.600000,0.500000,338.672664,37.428704,0.600000,338.672664,15.450286
42.500000,1763569650.342556,10.000000,0.600000,0.500000,346.397807,38.182983,0.600000,346.397807,15.573639
43.000000,1763569650.342572,10.000000,0.600000,0.500000,354.184627,38.954702,0.600000,354.184627,15.694913
43.500000,1763569650.342596,10.000000,0.600000,0.500000,362.032083,39.743931,0.600000,362.032083,15.814130
44.000000,1763569650.342607,10.000000,0.600000,0.500000,369.939148,40.550740,0.600000,369.939148,15.931313
44.500000,1763569650.342613,10.000000,0.600000,0.500000,377.904804,41.375194,0.600000,377.904804,16.046481
45.000000,1763569650.342619,10.000000,0.600000,0.500000,385.928045,42.217354,0.600000,385.928045,16.159657
45.500000,1763569650.342624,10.000000,0.600000,0.500000,394.007873,43.077280,0.600000,394.007873,16.270860
46.000000,1763569650.342634,10.000000,0.600000,0.500000,402.143303,43.955026,0.600000,402.143303,16.380113
46.500000,1763569650.342642,10.000000,0.600000,0.500000,410.333360,44.850646,0.600000,410.333360,16.487435
47.000000,1763569650.342648,10.000000,0.600000,0.500000,418.577077,45.764190,0.600000,418.577077,16.592846
47.500000,1763569650.342654,10.000000,0.600000,0.500000,426.873500,46.695705,0.600000,426.873500,16.696368
48.000000,1763569650.342661,10.000000,0.600000,0.500000,435.221684,47.645233,0.600000,435.221684,16.798019
48.500000,1763569650.342817,10.000000,0.600000,0.500000,443.620694,48.612817,0.600000,443.620694,16.897820
49.000000,1763569650.342838,10.000000,0.600000,0.500000,452.069604,49.598495,0.600000,452.069604,16.995791
49.500000,1763569650.342842,10.000000,0.600000,0.500000,460.567500,50.602302,0.600000,460.567500,17.091950
50.000000,1763569650.342849,10.000000,0.600000,0.500000,469.113474,51.624271,0.600000,469.113474,17.186316
50.500000,1763569650.342853,10.000000,0.600000,0.500000,477.706633,52.664432,0.600000,477.706633,17.278910
51.000000,1763569650.342856,10.000000,0.600000,0.500000,486.346088,53.722813,0.600000,486.346088,17.369750
51.500000,1763569650.342859,10.000000,0.600000,0.500000,495.030963,54.799439,0.600000,495.030963,17.458854
52.000000,1763569650.342864,10.000000,0.600000,0.500000,503.760389,55.894332,0.600000,503.760389,17.546241
52.500000,1763569650.342870,10.000000,0.600000,0.500000,512.533510,57.007513,0.600000,512.533510,17.631930
53.000000,1763569650.342883,10.000000,0.600000,0.500000,521.349475,58.138997,0.600000,521.349475,17.715938
53.500000,1763569650.342893,10.000000,0.600000,0.500000,530.207444,59.288801,0.600000,530.207444,17.798284
54.000000,1763569650.342897,10.000000,0.600000,0.500000,539.106586,60.456937,0.600000,539.106586,17.878985
54.500000,1763569650.343011,10.000000,0.600000,0.500000,548.046078,61.643416,0.600000,548.046078,17.958060
55.000000,1763569650.343023,10.000000,0.600000,0.500000,557.025108,62.848244,0.600000,557.025108,18.035526
55.500000,1763569650.343034,10.000000,0.600000,0.500000,566.042871,64.071428,0.600000,566.042871,18.111399
56.000000,1763569650.343043,10.000000,0.600000,0.500000,575.098571,65.312972,0.600000,575.098571,18.185698
56.500000,1763569650.343054,10.000000,0.600000,0.500000,584.191420,66.572876,0.600000,584.191420,18.258440
57.000000,1763569650.343061,10.000000,0.600000,0.500000,593.320639,67.851140,0.600000,593.320639,18.329640
57.500000,1763569650.343065,10.000000,0.600000,0.500000,602.485459,69.147760,0.600000,602.485459,18.399317
58.000000,1763569650.343068,10.000000,0.600000,0.500000,611.685118,70.462731,0.600000,611.685118,18.467486
58.500000,1763569650.343072,10.000000,0.600000,0.500000,620.918861,71.796046,0.600000,620.918861,18.534164
59.000000,1763569650.343076,10.000000,0.600000,0.500000,630.185943,73.147695,0.600000,630.185943,18.599368
59.500000,1763569650.343085,10.000000,0.600000,0.500000,639.485627,74.517668,0.600000,639.485627,18.663113
